OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_759	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_772	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_776	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_780	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_815	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_790	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_795	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_809	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_824	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_842	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_846	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_853	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_858	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_871	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_882	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_875	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_872	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_886	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_889	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_893	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_895	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_896	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_923	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_944	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_951	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_952	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_966	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_967	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_968	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_969	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Klebsiella_pneumoniae
ASV_976	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1002	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1007	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_1035	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1040	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1043	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1049	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1054	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1051	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1089	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1112	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1139	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_1140	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Brucella_melitensis
ASV_1144	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1167	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_1334	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1352	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1380	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1446	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1439	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1462	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1496	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1532	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1533	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1567	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1576	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1591	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1597	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1605	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1600	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1635	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1682	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1675	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1926	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_1954	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_1932	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_1899	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2020	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2021	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2033	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2050	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2075	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2159	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2095	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2180	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2204	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2183	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2217	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2220	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2229	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2270	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2286	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_1941	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2327	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2328	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2345	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2429	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2448	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2467	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2479	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2484	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2539	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2551	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Bacillus_cereus
ASV_2616	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_2641	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Pseudonocardia_autotrophica
ASV_3415	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Paeniclostridium_sordellii
ASV_3378	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Mycobacterium_chelonae
ASV_3432	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_3478	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3541	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3525	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Mycobacterium_chelonae
ASV_3569	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_3693	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_3730	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3774	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3892	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3947	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3964	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_3978	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Mycobacterium_simiae
ASV_4001	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4183	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4088	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_4154	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_4203	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Unassigned
ASV_4295	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Shigella_flexneri
ASV_4315	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_4317	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Shigella_flexneri
ASV_4319	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4444	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4391	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Enterobacter_cloacae
ASV_4446	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Mycobacterium_chelonae
ASV_4536	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4468	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Shigella_flexneri
ASV_4567	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Streptococcus_oralis
ASV_4544	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Mycobacterium_chelonae
ASV_4578	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4636	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
ASV_4643	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Pullulanibacillus	Staphylococcus_epidermidis
