"","BNTI","RC","Seasonal"
"97842",29.9543769299973,1,"Summer"
"97843",-0.0516496968256194,0.14,"Summer"
"97844",8.15755453682898,1,"Summer"
"97845",10.6641863408466,1,"Summer"
"97870",4.24867645401119,1,"Summer"
"97871",0.123579635526939,0.18,"Summer"
"97872",10.7193575179311,1,"Summer"
"97873",35.2883621917846,1,"Summer"
"97874",27.3888319803619,1,"Summer"
"97875",27.5938753155116,1,"Summer"
"97876",30.9495970621938,1,"Summer"
"97877",26.9432168660071,1,"Summer"
"97878",18.3989732511981,1,"Summer"
"97903",32.0883106474374,1,"Summer"
"97904",35.5005714154002,1,"Summer"
"97905",32.3696984945645,1,"Summer"
"97909",1.90190379145996,0.88,"Summer"
"97910",0.127718215067231,0.36,"Summer"
"97911",1.65657326578551,0.84,"Summer"
"97912",-0.98509782776266,-1,"Summer"
"97913",-0.0290979997721262,0.38,"Summer"
"97914",-0.726816548567169,-1,"Summer"
"97941",-0.317526344414529,0.04,"Summer"
"97942",0.188359991873528,0.46,"Summer"
"97943",-0.663787882461771,-0.84,"Summer"
"97944",-0.622248807589088,-0.46,"Summer"
"97945",-1.22852871957396,-1,"Summer"
"97946",0.137184940339331,0.28,"Summer"
"97971",0.535828678816106,0.58,"Summer"
"97972",0.561016906353148,0.56,"Summer"
"97973",0.301871428990608,0.52,"Summer"
"97974",0.879507374656543,0.56,"Summer"
"97975",14.0752953816753,1,"Summer"
"97976",0.295497829539368,0.46,"Summer"
"97977",-0.964675380797467,-0.76,"Summer"
"97978",3.48087323973984,1,"Summer"
"97979",1.39463910082116,0.86,"Summer"
"98004",0.971706688983655,0.66,"Summer"
"98005",-1.11250026964266,-0.8,"Summer"
"98006",-0.973015326474154,-0.92,"Summer"
"98007",25.4466194541401,1,"Summer"
"98008",10.3698004407783,1,"Summer"
"98009",19.0843596021484,1,"Summer"
"98010",4.20669753617343,1,"Summer"
"98011",10.0417453054771,1,"Summer"
"98012",3.45195825500151,0.96,"Summer"
