sampleID	tetracycline	vancomycin	benzalkoniumchloride	trimethoprim	chloramphenicol	teicoplanin	fosfomycin	para-aminosalicylicacid	cloxacillin	oxacillin	cefalotin	rifampin	rifaximin	ampicillin	rifapentine	spectinomycin	streptomycin	rifabutin	erythromycin	ciprofloxacin	doxycycline	triclosan	colistinA	colistinB	tigecycline	norfloxacin	cefotaxime	acriflavine	cefditoren	cefaclor	cefepime	demeclocycline	nalidixicacid	cefdinir	azithromycin	ceftazidime	gatifloxacin	gentamicin	ceftriaxone	novobiocin	minocycline	chlorhexidine	metronidazole	linezolid	thiamphenicol	azidamfenicol	ertapenem	grepafloxacin	imipenem	levofloxacin	lomefloxacin	moxifloxacin	ofloxacin	pefloxacin	piperacillin	polymyxinB5	sparfloxacin	ticarcillin	tobramycin	trovafloxacin	enoxacin	nitrofurantoin	puromycin	dibekacin	kanamycinA	mafenide	sisomicin	sulfacetamide	sulfadiazine	sulfadimidine	sulfadoxine	sulfamethizole	sulfasalazine	sulfamethoxazole	sulfisoxazole
SgHDHZ3YM5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ3YM9	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ3YM10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ3YM13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ4YM4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ5YM1	7	1	2	2	3	0	1	0	2	2	2	4	0	3	0	0	1	0	4	4	0	4	3	3	3	2	1	1	1	1	2	0	1	1	0	0	0	1	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ5YM2	4	1	0	0	1	0	0	0	0	0	1	2	0	2	0	1	1	0	0	1	0	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
SgHDHZ6YM2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ7YM1	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgHDHZ7YM3	3	2	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
